filename,number_ipv6_packets,number_flow_packets,number_ipv6_conversations,hop_by_hop_header,routing_header,fragment_header,destination_header,authentication_header,encapsulation_header,average_packet_length_per_traffic,min_packet_length_per_traffic,max_packet_length_per_traffic,average_packet_length_per_flow,min_packet_length_per_flow,max_packet_length_per_flow,average_number_packets_per_flow,min_number_packets_per_flow,max_number_packets_per_flow,average_ipg_per_traffic,packets_per_second,Sum A ← B,Min A ← B,Max A← B,Average Packets A ← B,Sum A → B,Min A → B,Max A → B,Average A → B,Min Length/Conversation (Bytes),Max Length/Conversation (Bytes),Average Length/Conversation (Bytes),Min Number Packets/Conversation,Max Number Packets/Conversation,Average Number Packets/Conversation,Min Duration/Conversation,Max Duration/Conversation,Average Duration/Conversation
equinix-nyc.dirA.20181115-132600.UTC.anon.ipv6.pcap,430564,74037,12156,0,0,705,0,0,0,220.72,52,1504,375.79 ,60,1504,2.56,1,3817,0.000139351,7176.135437964,385244,0,105009,31.6916,44615,0,1125,3.6702,0,14696205,7768.06,1,105009,35.36,0,59.9981,25.0046
equinix-nyc.dirA.20181115-132700.UTC.anon.ipv6.pcap,397719,62452,11962,0,0,599,0,0,0,165.86,52,1504,275.64 ,60,1504,2.14,1,1988,0.000150860,6628.661710635,354386,0,103589,29.6259,42734,0,1829,3.5724,0,14491084,5477.00,1,103589,33.19,0,59.9998,24.2431
equinix-nyc.dirA.20181115-132800.UTC.anon.ipv6.pcap,417531,73933,12205,0,0,708,0,0,0,188.38,52,1504,409.37 ,60,1504,2.53,1,7272,0.000143702,6958.858582592,373732,0,104339,30.6212,43091,0,1709,3.5306,0,14581536,6395.98,1,104339,34.15,0,59.9998,24.5423
equinix-nyc.dirA.20181115-132900.UTC.anon.ipv6.pcap,425818,88446,12149,0,0,603,0,0,0,234.64,52,1504,572.84 ,60,1504,2.96,1,11774,0.000140905,7096.982753160,383550,0,105847,31.5704,41665,0,1191,3.4295,0,17674368,8177.54,1,105847,35.00,0,59.9997,24.8386
equinix-nyc.dirA.20181115-133000.UTC.anon.ipv6.pcap,436144,91418,12235,0,0,702,0,0,0,242.43,52,1504,590.61 ,60,1504,3.02,1,15826,0.000137569,7269.094289224,392630,0,106089,32.0907,42812,0,1200,3.4991,0,23617788,8591.83,1,106089,35.58,0,59.9998,23.6189
equinix-nyc.dirA.20181115-133100.UTC.anon.ipv6.pcap,426569,78659,12170,0,0,543,0,0,0,208.79,52,1504,489.76 ,60,1504,2.70,1,9641,0.000140657,7109.506083752,386285,0,104631,31.7407,39741,0,1607,3.2654,0,14633962,7281.89,1,104631,35.00,0,59.9993,24.7321
equinix-nyc.dirA.20181115-133200.UTC.anon.ipv6.pcap,441078,86647,12179,0,0,729,0,0,0,230.54,52,1504,583.37 ,60,1504,2.99,1,11543,0.000136030,7351.332100816,396398,0,105478,32.5476,43951,0,2153,3.6087,0,17329509,8296.20,1,105478,36.15,0,59.9997,24.6345
equinix-nyc.dirA.20181115-133300.UTC.anon.ipv6.pcap,464196,111293,12207,0,0,549,0,0,0,284.60,52,1504,734.50 ,60,1504,3.76,1,6635,0.000129256,7736.618696828,416763,0,106760,34.1413,46884,0,2020,3.8407,0,42433163,10779.83,1,106760,37.98,0,59.9992,23.9049
equinix-nyc.dirA.20181115-133400.UTC.anon.ipv6.pcap,490681,113052,11817,0,0,513,0,0,0,293.88,56,2060,812.58 ,60,1504,3.90,1,8831,0.000122278,8178.081682416,427909,0,104349,36.2113,62259,0,23575,5.2685,0,55788295,12159.82,1,104349,41.47,0,59.9993,25.6998
equinix-nyc.dirA.20181115-133500.UTC.anon.ipv6.pcap,428826,80839,11303,0,0,600,0,0,14,236.94,52,1504,589.13 ,60,1504,2.79,1,8830,0.000139917,7147.123466388,385872,0,105076,34.1389,42354,0,3887,3.7471,0,14679553,8943.02,1,105076,37.88,0,59.9996,25.7222
equinix-nyc.dirA.20181115-133600.UTC.anon.ipv6.pcap,461957,103659,11767,0,0,635,0,0,2,277.02,52,1504,662.70 ,60,1504,3.56,1,5887,0.000129882,7699.324653042,414172,0,106025,35.1977,47150,0,1925,4.0069,0,26483522,10824.41,1,106025,39.20,0,59.9994,25.4026
equinix-nyc.dirA.20181115-133700.UTC.anon.ipv6.pcap,491425,145868,12194,0,0,591,0,0,3,360.22,52,1504,864.61 ,60,1504,4.99,1,8835,0.000122093,8190.507990830,443719,0,104129,36.3883,47115,0,6645,3.8637,0,73143998,14467.08,1,104129,40.25,0,59.9991,24.5751
equinix-nyc.dirA.20181115-133800.UTC.anon.ipv6.pcap,472037,128024,12310,0,0,669,0,0,1,346.53,52,1504,893.07 ,60,1504,4.42,1,13250,0.000127107,7867.422717839,431971,0,104937,35.0910,39397,0,3526,3.2004,0,68995268,13231.44,1,104937,38.29,0,59.9988,23.4753
equinix-nyc.dirA.20181115-133900.UTC.anon.ipv6.pcap,465927,120191,12105,0,0,745,0,0,0,304.52,52,2060,774.21 ,60,1504,4.15,1,7356,0.000128775,7765.509276720,421889,0,105575,34.8524,43293,0,2108,3.5764,0,62937611,11659.06,1,105575,38.42,0,59.9993,24.7322
equinix-nyc.dirA.20181115-134000.UTC.anon.ipv6.pcap,451208,103806,12146,0,0,507,0,0,0,302.76,52,1504,699.75 ,60,1504,3.72,1,5887,0.000132976,7520.179206426,408931,0,103632,33.6679,41770,0,1432,3.4389,0,40526108,11206.93,1,103632,37.10,0,59.9990,24.0647
